product_code,type,brands,lens_width,location,stock,cost_price,sale_price_s,sale_price_a,mrp,comments
NIRVANA,EXX,,,"T6-12,D9-1,D10-1",14.0,,800.0,,800.0,
RAFA PC,CT,,,NA,0.0,,250.0,,250.0,
TOM STYLE SHEET ROUND,AX,,,NA,0.0,,400.0,,400.0,
BANKU KIDS,CT,,,"L5D3S1-2,S2-4",6.0,,150.0,,150.0,
KIDS SAFILO,CT,,,NA,0.0,,300.0,,300.0,
OLIVICRR,EXX,,,L3D5S2-1,1.0,,500.0,,500.0,
ESCAPE DIVA,AX,,,na,0.0,,450.0,,450.0,
ESCAPE DEJAVU,AX,,,"CT3-1,D9-1",2.0,,450.0,,450.0,
KIDDIES,CT,,,NA,1.0,,300.0,,300.0,
MADRIDCITY SHEET,AX,,,"CT6-1,D9-1",2.0,,400.0,,400.0,
WORLDCUP SHEET,AX,,,CT6-1,1.0,,400.0,,400.0,
NATIONPORTS SHEET,AX,,,"L4D1S3-4,D9-1,L1D2S3-1",6.0,,400.0,,400.0,
ROCKER SHEET,CT,,,"D9-1,L2D3S1-1",2.0,,300.0,,300.0,
SYNERGY SHEET,CT,,,D9-1,1.0,,250.0,,250.0,
CHRISTIAN DIOR FULL METAL IST,EXX,,,"L4D2S1-2,CT8-1",3.0,,800.0,,800.0,
BORN CRAZY METAL,AX,,,NA,4.0,,450.0,,450.0,
VERACITY FULL METAL,AX,,,NA,0.0,,350.0,,350.0,
ELLSURISE FULL METAL,AX,,,NA,0.0,,400.0,,400.0,
MIGHTY FULL METAL,AX,,,D10-1,1.0,,400.0,,400.0,
RULEC FULL METAL,EXX,,,"C8R1-9,CT1-1,L4D4S3-4",14.0,,450.0,,450.0,
MOON LIGHT FULL METAL,EXX,,,"CT4-2,",2.0,,500.0,,500.0,
PVP EYE SHEET,EXX,,,CT10-1,1.0,,450.0,,450.0,
SPIDERMAN METAL,AX,,,DS4-1,1.0,,400.0,,400.0,
KADDORA SHEET,AX,,,L1D2S2-2,2.0,,400.0,,400.0,
HARLEY DAVIDSON SHEET,CT,,,"D9-1,CT11-1",4.0,,300.0,,300.0,
DISCOVERY SCHOOL,AX,,,CT13-1,1.0,,400.0,,400.0,
TONNY DAVID FULL METAL,AX,,,NA,0.0,,400.0,,400.0,
AISLIN SHEET GOGGLES,EXX,,,NA,0.0,,700.0,,700.0,
MARY JANE SHEET GOGGLES,AX,,,D7-1,1.0,,450.0,,450.0,
LADIES METAL WILI,EXX,,,DS4-1,2.0,,600.0,,600.0,
ROUND SHEET ,AX,,,NA,0.0,,,,,
PEACHY METAL,FRAME,,,CT9-1,1.0,,450.0,,450.0,
TAG BROTHERS SHEET,,,,"C8R1-7,CT6-2,T5-12",21.0,,300.0,,300.0,
EYEJACK METAL,,,,C8R1-1,1.0,,500.0,,500.0,
DAVID BECKHAM SHEET,,,,"T10S3-2,CT3-1,C10-2",5.0,,800.0,,800.0,
CHANEL SHEET IST,,,,CT3-1,1.0,,800.0,,800.0,
GOAVIATOR  FULL AVIATOR,,,,"CT2-1,D10-1,C8R2-45",47.0,,500.0,,500.0,
DINEX SUPRA AVIATOR,,,,"D10-2,C8R2-35,CT4-2",39.0,,350.0,,350.0,
UIVI FULL AVIATOR,,,,"CT2-1,C8R2-93",103.0,,150.0,,150.0,
