product_code,lens_width,brands,location,type,comments,mrp,cost_price,sale_price_s,sale_price_a,stock
VO2843S_W65613_53,,,G2,,,4990.0,,,,1
VO2870S_235811_52,,,G2,,,4290.0,,,,1
VO2843S_227913_56,,,G2,,,4590.0,,,,0
VO2871S_W4411_56,,,G2,,,4990.0,,,,0
VO2915S_W4411_53,,,G1,,,4290.0,,,,0
VO2915_228713_53,,,G2,,,4590.0,,,,1
VO2915S_22618H_53,,,G2,,,4290.0,,,,1
VO2915S_226214_53,,,G1,,,4290.0,,,,0
VO2915B_W4411_53,,,G3,,,4990.0,,,,2
VO2959_230213_54,,,G3,,,4290.0,,,,-2
VO2940SM_229648_58,,,G2,,,5290.0,,,,-1
VO2940_W4471_58,,,G3,,,4790.0,,,,-1
VO2943SB_201148_56,,,G3,,,4990.0,,,,1
VO2941S_227913_56,,,G3,,,4990.0,,,,-1
VO2993S_W65613_57,,,G4,,,5490.0,,,,-1
VO2993S_W4411_57,,,G4,,,5490.0,,,,3
VO2778_W65613_58,,,G1,,,6190.0,,,,0
VO2941S_W65613_56,,,G4,,,5090.0,,,,0
VO2916SB_W4411_58,,,G4,,,4990.0,,,,1
VO3972S_89768_58,,,G4,,,4590.0,,,,-1
VO3950SD_323S11_58,,,G4,,,3290.0,,,,2
VO4010S_3235R_54,,,F2,,,4590.0,,,,1
VO5007B_W4411_57,,,F2,,,3490.0,,,,1
VO5008S_236214_57,,,F2,,,3490.0,,,,3
VO5118S_W65613_57,,,G2,,,3990.0,,,,1
VO5118S_W4411_57,,,f1,,,3990.0,,,,6
VO5118S_247214_57,,,F2,,,3990.0,,,,2
VO3982SB_84813_58,,,G4,,,5990.0,,,,3
VO3991S_81314_58,,,G4,,,3490.0,,,,1
VO2896S_22258F_54,,,G3,,,4990.0,,,,0
VO2606S_228668_52,,,G1,,,5290.0,,,,0
VO2789B_W656_52,,,F1,,,4290.0,,,,0
VO2787_W44_51,,,H1,,,3990.0,,,,0
VO2787_2406_53,,,H1,,,4590.0,,,,0
VO2763_2279_53,,,H1,,,4590.0,,,,0
VO2866_W44_55,,,H1,,,4990.0,,,,1
VO2886_W44_53,,,H1,,,4990.0,,,,0
VO2899_W44_51,,,H1,,,3790.0,,,,0
VO2906_W44_52,,,H2,,,3790.0,,,,-2
VO2906_2249_52,,,IT,,,3790.0,,,,-2
VO2906_2249_53,,,F1,,,3790.0,,,,4
VO2908_2257_51,,,H2,,,4290.0,,,,0
VO2909_W44_54,,,H2,,,4590.0,,,,0
VO2937_W44_51,,,H2,,,4990.0,,,,-1
VO2950_2048_51,,,H2,,,3790.0,,,,1
VO2925_W827_53,,,H2,,,3490.0,,,,1
VO2950_2048_53,,,F2,,,3490.0,,,,2
VO2816_W745_52,,,H1,,,4290.0,,,,0
VO2816_2182_52,,,H1,,,4290.0,,,,0
VO3763_352_52,,,H2,,,3990.0,,,,0
VO3843_813_50,,,H2,,,3090.0,,,,0
VO3843_756_50,,,H2,,,3090.0,,,,1
VO3845B_548_50,,,H2,,,3990.0,,,,1
VO3838_352S_53,,,H2,,,3290.0,,,,0
VO3893_280_52,,,H2,,,3290.0,,,,1
VO3955B_352_51,,,H3,,,3290.0,,,,9
VO3980_352S_52,,,H3,,,3790.0,,,,2
VO3980_323S_54,,,H3,,,3790.0,,,,2
VO4003_352S_54,,,H3,,,3490.0,,,,2
VO4015B_5009_51,,,H3,,,5590.0,,,,1
VO4015B_352_53,,,H3,,,5590.0,,,,0
VO4016B_848_53,,,H3,,,3890.0,,,,5
VO4037_280_52,,,H3,,,3790.0,,,,-1
VO4037_352_52,,,H3,,,3790.0,,,,-1
VO4038_548_54,,,H3,,,3790.0,,,,1
VO4038_5033_54,,,H3,,,3790.0,,,,-1
VO3991S_8978H_58,,,F3,,,3990.0,,,,1
VO5120_W656_52,,,F3,,,3390.0,,,,-1
VO5094B_2465_52,,,F3,,,6090.0,,,,0
VO2993SW_65613_57,,,F3,,,5290.0,,,,1
VO2941SW_4411_56,,,F3,,,4790.0,,,,1
VO3894_916_53,,,F3,,,3490.0,,,,0
VO2896S_W4411_54,,,F3,,,4790.0,,,,0
VO2993S_1880T33_57,,,F3,,,6690.0,,,,1
VO5153_2593_51,,,F3,,,5690.0,,,,1
VO2491S_25355R_56,,,F3,,,4790.0,,,,1
ID965_C3_50,,,IT,,,1800.0,,,,0
ID738_C2_54,,,IT,,,1800.0,,,,-1
ID737_C4_52,,,T,,,1800.0,,,,0
ID734_C3_50,,,T,,,1800.0,,,,0
ID736_C4_53,,,IT,,,1900.0,,,,0
ID829_C4_51,,,IT,,,1900.0,,,,0
ID911_C2_52,,,IT,,,1900.0,,,,0
ID706_C4_52,,,IT,,,1900.0,,,,0
ID1000_C4_52,,,TB,,,1800.0,,,,0
ID973_C2_51,,,IT,,,1800.0,,,,0
ID884_C3_51,,,IT,,,1800.0,,,,0
ID997_C2_52,,,IT,,,1800.0,,,,0
ID915_C3_52,,,IT,,,1800.0,,,,0
ID916_C3_53,,,IT,,,1800.0,,,,0
ID739_C3_55,,,TB,,,1800.0,,,,0
ID906_C4_50,,,IT,,,1800.0,,,,0
ID721_C2_52,,,T,,,1800.0,,,,0
ID892_C1_52,,,IT,,,1800.0,,,,0
ID1002_C2_52,,,TB,,,1800.0,,,,0
ID733_C4_52,,,T,,,1800.0,,,,0
ID1047_C3_51,,,IT,,,1800.0,,,,0
ID1027_C4_53,,,IT,,,1800.0,,,,1
ID941_C1_51,,,IT,,,1800.0,,,,0
ID908_C2_50,,,IT,,,1800.0,,,,0
ID1191_C3_52,,,IT,,,1800.0,,,,1
ID780_C4_58,,,IT,,,1800.0,,,,1
ID952-C2_53,,,IT,,,1800.0,,,,1
ID890_C3_51,,,IT,,,1800.0,,,,0
ID827_C1_53,,,IT,,,1800.0,,,,0
ID1047_C4_51,,,IT,,,1800.0,,,,1
ID856_C1_51,,,IT,,,1800.0,,,,1
ID1047_C2_51,,,T,,,1800.0,,,,0
ID1160_C3_51,,,IT,,,1800.0,,,,1
ID698_C1_M,,,IT,,,1800.0,,,,1
ID1142_C2_52,,,IT,,,1800.0,,,,0
ID730_C1_53,,,IT,,,1800.0,,,,1
ID997_C3_52,,,IT,,,1800.0,,,,0
ID1001_C1_M,,,IT,,,1800.0,,,,1
ID1147_C4_M,,,IT,,,1800.0,,,,1
ID1135_C4_M,,,IT,,,1800.0,,,,1
ID1142_C5_52,,,IT,,,1800.0,,,,0
ID1207_C3_53,,,IT,,,1800.0,,,,0
ID842_C1_52,,,IT,,,1800.0,,,,1
ID1027_C2_53,,,IT,,,1800.0,,,,1
ID857_C1_53,,,IT,,,1800.0,,,,0
ID886_C3_51,,,IT,,,1800.0,,,,0
ID1027_C3_53,,,IT,,,1800.0,,,,0
ID949_C1_52,,,ITB,,,1800.0,,,,0
ID874_C3_52,,,IT,,,1800.0,,,,0
ID893_C3_52,,,IT,,,1800.0,,,,0
ID907_C2_51,,,IT,,,1800.0,,,,0
ID950_C4_M,,,IT,,,1800.0,,,,0
ID735_C2_52,,,IT,,,1800.0,,,,1
ID1157_C2_52,,,IT,,,1800.0,,,,1
ID706_C3_52,,,IT,,,1800.0,,,,-1
ID1002_C3_52,,,TB,,,1800.0,,,,0
ID1038_C4_51,,,T,,,1800.0,,,,0
ID722_C3_52,,,TB,,,1800.0,,,,0
ID1038_C1_51,,,IT,,,1800.0,,,,0
ID1153_C4_52,,,IT,,,1800.0,,,,0
ID740_C2_54,,,IT,,,1800.0,,,,0
ID996_C3_51,,,IT,,,1800.0,,,,0
ID961_C2_51,,,IT,,,1800.0,,,,1
ID911_C3_52,,,IT,,,1800.0,,,,1
ID940_C2_52,,,TB,,,1800.0,,,,1
ID869_C2_52,,,IT,,,1800.0,,,,-1
